TAXON_GROUP_NAME;YEAR;METIER;MONTH;VPUE
Engraulis encrasicolus;2017;OTB_XST_24-40;6;0.0521315077894591
Engraulis encrasicolus;2017;OTB_XST_24-40;10;0.123534452012661
Engraulis encrasicolus;2017;OTM_CMT_24-40;1;1255.83980094829
Engraulis encrasicolus;2017;OTM_CMT_24-40;2;642.658831504585
Engraulis encrasicolus;2017;OTM_CMT_24-40;3;416.867378791147
Engraulis encrasicolus;2017;OTM_CMT_24-40;4;824.887610617876
Engraulis encrasicolus;2017;OTM_CMT_24-40;5;100.945902239395
Engraulis encrasicolus;2017;OTM_CMT_24-40;6;78.9947390856469
Engraulis encrasicolus;2017;OTM_CMT_24-40;7;42.9052159282109
Engraulis encrasicolus;2017;OTM_CMT_24-40;8;173.662720466735
Engraulis encrasicolus;2017;OTM_CMT_24-40;9;431.823808446916
Engraulis encrasicolus;2017;OTM_CMT_24-40;10;501.345764651287
Engraulis encrasicolus;2017;OTM_CMT_24-40;11;890.133727927852
Engraulis encrasicolus;2017;OTM_CMT_24-40;12;847.031228604297
Engraulis encrasicolus;2017;OTM_CST_24-40;1;1856.63160132992
Engraulis encrasicolus;2017;OTM_CST_24-40;11;728.94409148585
Engraulis encrasicolus;2017;OTM_CST_24-40;12;879.851955098363
Engraulis encrasicolus;2017;OTM_GPV_24-40;1;630.462068810761
Engraulis encrasicolus;2017;OTM_GPV_24-40;2;90.2172126871105
Engraulis encrasicolus;2017;OTM_GPV_24-40;11;1462.806535508
Engraulis encrasicolus;2017;OTM_GPV_24-40;12;961.379185718591
Engraulis encrasicolus;2017;OTM_GST_18-24;2;26.6212007779468
Engraulis encrasicolus;2017;OTM_GST_18-24;5;16.4113796791444
Engraulis encrasicolus;2017;OTM_GST_18-24;6;14.535978245644
Engraulis encrasicolus;2017;OTM_GST_18-24;7;62.7663309784718
Engraulis encrasicolus;2017;OTM_XMA_18-24;8;0.283307931275318
Engraulis encrasicolus;2017;OTM_XST_24-40;1;684.508469574782
Engraulis encrasicolus;2017;OTM_XST_24-40;11;651.510923026139
Engraulis encrasicolus;2017;OTM_XST_24-40;12;654.49041801446
Engraulis encrasicolus;2017;OTT_CST_24-40;1;1899.2615991701
Engraulis encrasicolus;2017;OTT_CST_24-40;5;0.228793287740008
Engraulis encrasicolus;2017;OTT_GPV_24-40;1;770.376167968495
Engraulis encrasicolus;2017;OTT_GPV_24-40;2;21.2802495495964
Engraulis encrasicolus;2017;OTT_GPV_24-40;11;1567.06249897888
Engraulis encrasicolus;2017;OTT_GPV_24-40;12;1028.41915706568
Engraulis encrasicolus;2017;OTT_XST_24-40;1;417.160243536276
Engraulis encrasicolus;2017;OTT_XST_24-40;2;0.566666787965337
Engraulis encrasicolus;2017;OTT_XST_24-40;3;0.2204271728219
Engraulis encrasicolus;2017;OTT_XST_24-40;5;0.477839118765724
Engraulis encrasicolus;2017;OTT_XST_24-40;10;0.408247009774179
Engraulis encrasicolus;2017;OTT_XST_24-40;11;0.127557660146787
Illex spp.;2015;OTB_CMT_18-24;1;2.69603789273312
Illex spp.;2015;OTB_CMT_18-24;2;3.46809368002572
Illex spp.;2015;OTB_CMT_18-24;3;5.43315270290094
Illex spp.;2015;OTB_CMT_18-24;4;8.41970321943764
Illex spp.;2015;OTB_CMT_18-24;5;7.89653088246393
Illex spp.;2015;OTB_CMT_18-24;6;7.27813326211705
Illex spp.;2015;OTB_CMT_18-24;7;4.20534228857395
Illex spp.;2015;OTB_CMT_18-24;8;2.18292787671464
Illex spp.;2015;OTB_CMT_18-24;9;0.408476767387887
Illex spp.;2015;OTB_CMT_18-24;10;0.864231641130146
Illex spp.;2015;OTB_CMT_18-24;11;1.00975666817983
Illex spp.;2015;OTB_CMT_18-24;12;2.32693891834974
Illex spp.;2015;OTB_CMT_24-40;1;2.30869906443093
Illex spp.;2015;OTB_CMT_24-40;2;3.40601416405676
Illex spp.;2015;OTB_CMT_24-40;3;3.91450399763034
Illex spp.;2015;OTB_CMT_24-40;4;6.96645658637046
Illex spp.;2015;OTB_CMT_24-40;5;6.1661545143908
Illex spp.;2015;OTB_CMT_24-40;6;6.32080779831573
Illex spp.;2015;OTB_CMT_24-40;7;3.5854485882418
Illex spp.;2015;OTB_CMT_24-40;8;1.01637771424556
Illex spp.;2015;OTB_CMT_24-40;9;0.265428667624782
Illex spp.;2015;OTB_CMT_24-40;10;1.85256304691204
Illex spp.;2015;OTB_CMT_24-40;11;2.45062539124117
Illex spp.;2015;OTB_CMT_24-40;12;3.00803318924328
Illex spp.;2015;OTB_CST_18-24;1;3.92152401053886
Illex spp.;2015;OTB_CST_18-24;2;5.44789450807731
Illex spp.;2015;OTB_CST_18-24;3;3.79332517675621
Illex spp.;2015;OTB_CST_18-24;4;6.27223676476999
Illex spp.;2015;OTB_CST_18-24;5;3.65074258343968
Illex spp.;2015;OTB_CST_18-24;6;3.15546101893306
Illex spp.;2015;OTB_CST_18-24;7;3.89922184124964
Illex spp.;2015;OTB_CST_18-24;8;2.77494095708897
Illex spp.;2015;OTB_CST_18-24;9;2.86126664875443
Illex spp.;2015;OTB_CST_18-24;10;5.31750298970637
Illex spp.;2015;OTB_CST_18-24;11;4.61247658018153
Illex spp.;2015;OTB_CST_18-24;12;6.00929608505221
Illex spp.;2015;OTB_CST_24-40;1;6.06585951866673
Illex spp.;2015;OTB_CST_24-40;2;7.97698074934896
Illex spp.;2015;OTB_CST_24-40;3;6.19782555366073
Illex spp.;2015;OTB_CST_24-40;4;5.15529611907611
Illex spp.;2015;OTB_CST_24-40;5;3.65997591322004
Illex spp.;2015;OTB_CST_24-40;6;2.97891179189618
Illex spp.;2015;OTB_CST_24-40;7;3.0795889691398
Illex spp.;2015;OTB_CST_24-40;8;2.51978008268637
Illex spp.;2015;OTB_CST_24-40;9;4.81580462511942
Illex spp.;2015;OTB_CST_24-40;10;5.99127972357377
